date,heart_rate_mean,heart_rate_min,heart_rate_max,heart_rate_std,hrv_mean,hrv_min,hrv_max,hrv_std,steps_sum,steps_max,resting_hr_mean,vo2max_mean,respiratory_rate_mean,respiratory_rate_min,respiratory_rate_max,spo2_percent_mean,spo2_percent_min,active_energy_cal_sum,basal_energy_cal_sum,distance_walk_run_m_sum,flights_sum,exercise_minutes_sum,stand_minutes_sum,sleeping_wrist_temp_degF_mean,sleep_minutes_sum
2018-04-29,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,1764.0,271.0,70.0,34.25,20.5,20.5,20.5,0.9899999999999999,0.99,4.788,592.306,0.6002502245,38.0,38.0,76.0,96.2188,0.6333333333333309
2018-04-30,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,2003.0,341.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,3.528,436.436,0.75166058,28.0,28.0,56.0,96.2188,0.4666666666666648
2018-05-01,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4635.0,489.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,4.914,607.893,1.7837932,39.0,39.0,78.0,96.2188,0.6499999999999975
2018-05-02,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,1346.0,153.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,4.032,498.784,0.493437168,32.0,32.0,64.0,96.2188,0.5333333333333312
2018-05-03,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,5027.0,331.0,70.0,34.25,20.5,20.5,20.5,0.9899999999999999,0.99,6.048,748.1759999999999,2.00391017,48.0,48.0,96.0,96.2188,0.7999999999999968
2018-05-04,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4148.0,320.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,5.796,717.002,1.43241565,46.0,46.0,92.0,96.2188,0.7666666666666636
2018-05-05,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,1930.0,364.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,3.654,452.02299999999997,0.71992679,29.0,29.0,58.0,96.2188,0.4833333333333314
2018-05-06,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,2333.0,323.0,70.0,34.25,20.5,20.5,20.5,0.9900000000000001,0.99,4.158,514.371,0.86197217,33.0,33.0,66.0,96.2188,0.5499999999999978
2018-05-07,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3582.0,372.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,4.41,545.545,1.37634306,35.0,35.0,70.0,96.2188,0.583333333333331
2018-05-08,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3350.0,360.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,5.04,623.48,1.20601886,40.0,40.0,80.0,96.2188,0.6666666666666641
2018-05-09,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4039.0,318.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,5.04,623.48,1.6054726799999999,40.0,40.0,80.0,96.2188,0.6666666666666641
2018-05-10,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3507.0,276.0,70.0,34.25,20.5,20.5,20.5,0.9900000000000001,0.99,5.5440000000000005,685.828,1.25999784,44.0,44.0,88.0,96.2188,0.7333333333333304
2018-05-11,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3973.0,535.0,70.0,34.25,20.5,20.5,20.5,0.9900000000000001,0.99,4.158,514.371,1.66487179,33.0,33.0,66.0,96.2188,0.5499999999999978
2018-05-12,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4149.0,360.0,70.0,34.25,20.5,20.5,20.5,0.9899999999999999,0.99,5.166,639.067,1.560179427,41.0,41.0,82.0,96.2188,0.6833333333333306
2018-05-13,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3565.0,508.0,70.0,34.25,20.5,20.5,20.5,0.9899999999999999,0.99,5.166,639.067,1.32540347,41.0,41.0,82.0,96.2188,0.6833333333333306
2018-05-14,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3360.0,339.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,4.032,498.784,1.25206244,32.0,32.0,64.0,96.2188,0.5333333333333312
2018-05-15,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,5003.0,246.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,5.04,623.48,1.8381582,40.0,40.0,80.0,96.2188,0.6666666666666641
2018-05-16,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3072.0,267.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,4.41,545.545,1.0592825590000001,35.0,35.0,70.0,96.2188,0.583333333333331
2018-05-17,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,2203.0,237.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,3.528,436.436,0.81049795,28.0,28.0,56.0,96.2188,0.4666666666666648
2018-05-18,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,2045.0,557.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,3.276,405.262,0.7559655997,26.0,26.0,52.0,96.2188,0.4333333333333316
2018-05-19,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,389.0,47.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,1.8900000000000001,233.805,0.11839988,15.0,15.0,30.0,96.2188,0.249999999999999
2018-05-20,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,1286.0,160.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,3.15,389.675,0.49814684400000003,25.0,25.0,50.0,96.21880000000002,0.416666666666665
2018-05-21,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4123.0,222.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,6.3,779.35,1.5703419299999999,50.0,50.0,100.0,96.21880000000002,0.83333333333333
2018-05-22,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3517.0,463.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,4.536,561.132,1.24525339,42.0,36.0,72.0,96.2188,0.5999999999999976
2018-05-23,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,2359.0,157.0,70.0,34.25,20.5,20.5,20.5,0.9899999999999999,0.99,4.788,592.306,0.9243328771,38.0,38.0,76.0,96.2188,0.6333333333333309
2018-05-24,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3532.0,314.0,70.0,34.25,20.5,20.5,20.5,0.9900000000000001,0.99,4.158,514.371,1.31282071,33.0,33.0,66.0,96.2188,0.5499999999999978
2018-05-25,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,5748.0,613.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.308,904.0459999999999,2.027781584,58.0,58.0,116.0,96.2188,0.9666666666666628
2018-05-26,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,2854.0,532.0,70.0,34.25,20.5,20.5,20.5,0.9900000000000001,0.99,4.662,576.7189999999999,0.99603976,37.0,37.0,74.0,96.2188,0.6166666666666643
2018-05-27,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,2012.0,359.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,2.52,311.74,0.8305995939999999,20.0,20.0,40.0,96.2188,0.33333333333333204
2018-05-28,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3531.0,395.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,5.67,701.415,1.29457661,45.0,45.0,90.0,96.21880000000002,0.749999999999997
